uuid,title,jobFamily,level,focusTag,yearsOfExperience,yearsAtCompany,yearsAtLevel,offerDate,location,workArrangement,compPerspective,cityId,dmaId,countryId,exchangeRate,baseSalary,baseSalaryCurrency,totalCompensation,avgAnnualStockGrantValue,stockGrantCurrency,avgAnnualBonusValue,bonusCurrency,salesComp,negotiatedAmount,gender,ethnicity,education,otherDetails,vestingSchedule,tags,companyInfo.registered,companyInfo.icon,companyInfo.name,companyInfo.slug,companyInfo
cec66005-1d33-45d9-93e4-342c1f4e7a0b,FAAS Senior,Accountant,,Ey,4,1,1.0,20230810,"San Francisco, CA",office,employee,7419,807,254,1.0,118000.0,USD,127300.0,,,9300.0,USD,,,,,,,,,True,https://logo.clearbit.com/ey.com,Ernst and Young,ernst-and-young,
aee30815-2b23-4c67-a109-2c1790389a2b,Tax Consultant I,Accountant,L1,Tax,0,0,,20230810,"Minneapolis, MN",office,employee,9194,613,254,1.0,67000.0,USD,67000.0,,,,,,,,,,,,,True,https://logo.clearbit.com/deloitte.com,Deloitte,deloitte,
78cbd40e-db8a-4509-b029-a617c106745f,Manager,Accountant,M2,Tax,18,3,1.0,20230810,"Warsaw, MZ, Poland",hybrid,employee,12730,10007,197,1.0,70000.0,USD,75000.0,,,5000.0,USD,,,,,Doctorate (PhD),,,['Promotion'],True,https://logo.clearbit.com/ey.com,Ernst and Young,ernst-and-young,
c68c47c9-35f3-491c-bf38-4c78d872314e,False,Accountant,False,False,5-10,0-1,,20230810,"Toronto, ON, Canada",office,offer,1206,950,43,1.3421,108487.1041,CAD,108487.1041,,,,,,,,,,,,['Contractor'],,,,,False
9d4bd7a4-ed8b-4977-800a-256edc2cdee9,Senior Associate,Accountant,L3,Accounting,3,3,1.0,20230809,"Greensboro, NC",hybrid,employee,9619,518,254,1.0,76895.0,USD,78895.0,,,2000.0,USD,,,,,,,,,True,https://logo.clearbit.com/rsmus.com,RSM US,rsm-us,
160f6b62-c2ae-486f-9ff8-236b64bde283,Tax Staff,Accountant,Staff 2,indirect tax,1,1,1.0,20230809,"Richmond, VA",remote,employee,11434,556,254,1.0,85000.0,USD,90000.0,,,5000.0,USD,,,male,,Bachelors degree,,,,True,https://logo.clearbit.com/ey.com,Ernst and Young,ernst-and-young,
3d6a8a15-9406-49f4-9498-38cc6685a686,Senior Associate,Accountant,Senior Associate,Internal Audit,3,3,1.0,20230808,"San Francisco, CA",hybrid,employee,7419,807,254,1.0,113000.0,USD,125000.0,,,12000.0,USD,,,,,,,,,True,https://logo.clearbit.com/pwc.com,PwC,pwc,
c5c02e25-1751-47c3-b59b-4d3abcd49834,Manager,Accountant,L5,Audit,10,4,2.0,20230808,"Richmond, VA",hybrid,employee,11434,556,254,1.0,145000.0,USD,150000.0,,,5000.0,USD,,,,,,,,,True,https://logo.clearbit.com/deloitte.com,Deloitte,deloitte,
d835fb3b-f6a6-4707-9c54-69e0de4c124d,Accountant,Accountant,L3,Accounting,1,0,,20230808,"Philadelphia, PA",office,offer,10646,504,254,1.0,90000.0,USD,90000.0,,,,,,,,,,,,,True,https://static.levels.fyi/logos/128/google.webp,Google,google,
2bfb2565-9862-4a91-ad9a-32b414d3e5b6,False,Accountant,False,False,2-4,2-4,2.0,20230806,"Vancouver, BC, Canada",office,employee,1320,984,43,1.0,50000.0,USD,50000.0,,,,,,,,,,,,,,,,,False
ce6da91b-314f-4450-89ee-895947219525,Audit,Accountant,A1,Technology Assurance,1,0,,20230805,"Los Angeles, CA",office,employee,7275,803,254,1.0,88000.0,USD,90000.0,,,2000.0,USD,,,,,,,,,True,https://logo.clearbit.com/kpmg.ca,KPMG,kpmg,
b74f3659-6513-4a16-b87d-74edfe7a9138,Senior,Accountant,S1,Audit,5,2,0.0,20230804,"San Francisco, CA",hybrid,employee,7419,807,254,1.0,99300.0,USD,106500.0,,,7200.0,USD,,,,,,,,['Promotion'],True,https://logo.clearbit.com/ey.com,Ernst and Young,ernst-and-young,
27ce47d0-0454-4f6b-b8c5-f45c3b54a975,Accountant,Accountant,L3,Reconciliations,6,0,,20230803,"Winnipeg, MB, Canada",office,employee,1230,960,43,1.33449,43462.2965,CAD,43462.2965,,,,,,,,,Technical or occupational certificate,,,,False,,Winpak,,
0e0ff083-2fb4-4916-907a-0f6784060798,Finance Manager,Accountant,L4,Accounting,11,3,3.0,20230802,"West McLean, VA",office,employee,40693,511,254,1.0,145000.0,USD,158000.0,,,13000.0,USD,,,male,,Masters degree,,,,True,https://logo.clearbit.com/capitalone.com,Capital One,capital-one,
2a6225b3-5855-4460-89e6-4d1d32c591cb,Senior Accountant,Accountant,L3,Accounting,6,3,3.0,20230802,"Mumbai, MH, India",office,employee,6457,10063,113,82.3845,8739.5081,INR,8739.5081,,,,,,,male,Asian,Bachelors degree,,,,False,,Saifee Palace,,
72a6f5c5-cf11-4bbb-8b40-ba0d79ced97a,Accountant,Accountant,Manager,Accounting,7,3,1.0,20230801,"New York, NY",office,employee,10182,501,254,1.0,100000.0,USD,115000.0,,,15000.0,USD,,,,,,,,,False,,Hanhwa Group,,
